ATE real, ATE estimado
0.3012776571651018, 0.34248531979050945
0.23604977681783695, 0.3410569750833201
0.35912527380757386, 0.35613394699254086
0.18054030298899804, 0.3391525154737343
0.23946532023302042, 0.34248531979050945
0.23500275463139567, 0.34486589430249165
0.27601996956291275, 0.34058086018092365
0.21633273567988504, 0.34438977940009524
0.1735725642363104, 0.3470877638470084
0.34493843363134113, 0.34486589430249165
0.15472208276343674, 0.3402634502459927
0.2097582646718667, 0.33264561180764957
0.37282592839839696, 0.3480399936518013
0.28150392510604816, 0.33994604031106174
0.25618822295963795, 0.3428027297254404
0.26309762736413256, 0.3372480558641485
0.22229592177356053, 0.33455007141723536
0.25907875172403494, 0.3464529439771465
0.4131725792929203, 0.3447071893350262
0.2318931548788118, 0.3385176956038724
0.24807220360767704, 0.3404221552134582
0.26180697706944206, 0.34597682907475
0.21455513213072805, 0.33312172671004603
0.2298737418535805, 0.34185049992064753
0.19603643207967208, 0.3445484843675607
0.285801734750883, 0.3489922234565942
0.2071046663886266, 0.33312172671004603
0.1438205125960954, 0.329154102523409
0.18405266977989548, 0.3367719409617521
0.22702657461537734, 0.359466751309316
0.23360022118239498, 0.34248531979050945
0.3057085149195178, 0.3429614346929059
0.332997263339909, 0.34438977940009524
0.3394757602945708, 0.33994604031106174
0.17734032946449424, 0.34565941913981907
0.14966747431757826, 0.3385176956038724
0.11932952188456523, 0.3372480558641485
0.2290526675886294, 0.34073956514838916
0.19242832568863777, 0.33978733534359623
0.1151254321609185, 0.3342326614823044
0.22983363095262674, 0.3428027297254404
0.28414224212428063, 0.3410569750833201
0.2843240849871704, 0.3340739565148389
0.26276514564866005, 0.3421679098555785
0.22275724493220433, 0.3316933820028567
0.3337021853090283, 0.3421679098555785
0.23628774309091424, 0.3378828757340105
0.22975408703441913, 0.3421679098555785
0.21787355615785942, 0.33978733534359623
0.15314265916553554, 0.33693064592921756
