ATE real, ATE estimado
0.35233261807701965, 0.3335978416124425
0.31579171560946423, 0.3351848912870973
0.3607751145493612, 0.3366132359942866
0.22100450412573325, 0.3391525154737343
0.3139230459282693, 0.34137438501825107
0.3077523195741269, 0.3280431677511506
0.28693954849556, 0.3445484843675607
0.33006009388289614, 0.3428027297254404
0.347772999429182, 0.33566100618949374
0.4260450132561453, 0.34613553404221553
0.30171459710517307, 0.3447071893350262
0.3486582044254949, 0.33883510553880336
0.37693482925929656, 0.33455007141723536
0.3691154796028206, 0.34677035391207744
0.2745020142626991, 0.3458181241072846
0.19907778113371427, 0.34565941913981907
0.4438589515075017, 0.34312013966037136
0.2567461127523975, 0.3385176956038724
0.3557290158402028, 0.3458181241072846
0.33995569301370815, 0.33312172671004603
0.38120039720089854, 0.3393112204411998
0.4121049013727664, 0.341691794953182
0.3311455161720921, 0.34661164894461194
0.4249674477959514, 0.3366132359942866
0.3046401231484397, 0.33693064592921756
0.3127677856036281, 0.33804158070147594
0.32618538512199025, 0.34438977940009524
0.3902301240005311, 0.34692905887954295
0.33974878879546694, 0.3386764005713379
0.2749859539257353, 0.337724170766545
0.2793061069920343, 0.34486589430249165
0.3578685476540153, 0.33645453102682116
0.2693382715906887, 0.3447071893350262
0.2985073739090441, 0.3393112204411998
0.32185600341885023, 0.3435962545627678
0.31936393982476724, 0.35200761783843837
0.3849180272729636, 0.3531185526106967
0.4450309738635335, 0.3478812886843358
0.19953514872123793, 0.3367719409617521
0.3772406040848045, 0.350261863196318
0.3462675363450743, 0.3435962545627678
0.3417985658812251, 0.3402634502459927
0.35617217055888684, 0.3367719409617521
0.2969804655156049, 0.3272496429138232
0.27560542668958965, 0.3394699254086653
0.27881795241916896, 0.33375654657990794
0.40162484199231013, 0.3455007141723536
0.2995063557685638, 0.3340739565148389
0.3574153748644261, 0.3428027297254404
0.3184142039510645, 0.33756546579907953
