ATE real, ATE estimado
0.13730156186555298, 0.19600063481986987
0.31253726354400624, 0.1948897000476115
0.2158111960533758, 0.19520710998254245
0.22183178156981387, 0.19250912553562927
0.16907580602220118, 0.19425488017774956
0.16754627052373106, 0.2007617838438343
0.23588750393878938, 0.19266783050309474
0.09643553904021651, 0.19409617521028408
0.19825183981351813, 0.18124107284558005
0.19691976929687854, 0.1871131566418029
0.2625164080148874, 0.1966354546897318
0.11251557789093092, 0.18885891128392318
0.16245032446673668, 0.18060625297571814
0.17780965948893102, 0.1948897000476115
0.16894467856887851, 0.19473099508014602
0.23751802215724105, 0.18838279638152675
0.14477618210720944, 0.19473099508014602
0.10876984629168718, 0.1955245199174734
0.20321332532511527, 0.19409617521028408
0.2504058281782862, 0.1923504205681638
0.02407521999024642, 0.18996984605618156
0.13562907713286398, 0.18996984605618156
0.14948681977243783, 0.17806697349627043
0.1679556157883919, 0.18616092683701
0.1604109270970322, 0.19584192985240437
0.143771529687719, 0.1853674019996826
0.22951067871015596, 0.18568481193461356
0.02724171521229979, 0.1964767497222663
0.1617413654766534, 0.18949373115378512
0.005267414280330729, 0.1853674019996826
0.11065675995387747, 0.18885891128392318
0.20319411767670714, 0.1923504205681638
0.07185292055755677, 0.18489128709728614
0.20817107707470228, 0.1929852404380257
0.21115419295658333, 0.20155530868116173
0.17006907262870907, 0.19885732423424854
0.21451079070965107, 0.19171560069830185
0.18276243189047514, 0.1939374702428186
0.15685522381448214, 0.190445960958578
0.16873996199904817, 0.19838120933185208
0.131013961151627, 0.18743056657673385
0.16531932734243915, 0.18996984605618156
0.24080597963766903, 0.18298682748770037
0.19408406943595946, 0.1939374702428186
0.20780781578187174, 0.19108078082843993
0.028251157186513054, 0.19457229011268054
0.2647567569740418, 0.18743056657673385
0.16473339023101896, 0.17997143310585623
0.1928671506556725, 0.18584351690207904
0.09958724897002591, 0.19330265037295669
