# MSE: 0.003972854050368286, 0.004027633004626449, 0.004007165433086126
# ATE, linear, probit, logit
0.4847870182555781, 0.4646713763080284, 0.4247269232457158, 0.5412302178578154
0.5010141987829615, 0.43688839749172315, 0.47393420446477064, 0.491440091299311
0.4776876267748479, 0.40419370908364693, 0.5946180654225468, 0.4512985285797869
0.4918864097363083, 0.503390861908759, 0.45280238139467943, 0.4480035563794475
0.4766734279918864, 0.40142302343595954, 0.48697198969645317, 0.5622614331142404
0.48782961460446245, 0.4535541534219529, 0.42836414660394084, 0.4825204783028429
0.43610547667342797, 0.5059099510537014, 0.47330904942518914, 0.4189730343005975
0.5081135902636917, 0.38911491685462735, 0.5232636786159468, 0.47563001091323265
0.4716024340770791, 0.3751110610695358, 0.453149259856065, 0.5815340026371164
0.48884381338742394, 0.34314521765010786, 0.48016306756847354, 0.5161061124226061
0.4685598377281947, 0.4059716958499782, 0.43371822323551656, 0.4942990474304179
0.4726166328600406, 0.3638213434590154, 0.4826567928870981, 0.32880903207973855
0.4898580121703854, 0.4387476274512574, 0.3892909236263218, 0.36340381651665765
0.47565922920892495, 0.42188773154280446, 0.5144556870362382, 0.6485725174576426
0.5111561866125761, 0.4355835796521528, 0.4412804143340594, 0.6102216936351413
0.46754563894523327, 0.49068246036091523, 0.4743588616101576, 0.33328733606538935
0.513184584178499, 0.39877562460895283, 0.4688662847696953, 0.544806751134744
0.45334685598377283, 0.3906697450266773, 0.34594982077012626, 0.4731195038838852
0.48377281947261663, 0.4348629370012193, 0.4878159580200994, 0.4936996279591211
0.4614604462474645, 0.5233657912696645, 0.3964584021211266, 0.5580909098055133
0.4645030425963489, 0.48472491528010286, 0.43776505607351834, 0.6132034041961075
0.5020283975659229, 0.42136666137534584, 0.46798048773844947, 0.3772147508579854
0.4553752535496957, 0.4066528163410007, 0.47068452638679925, 0.4309389956644705
0.4330628803245436, 0.4806128706119471, 0.45558650151722235, 0.5446083753440708
0.4665314401622718, 0.4804916675173443, 0.4907731946140849, 0.45777696450791133
